_uuid,start,end,today,survey_round,group_identification/household_id,group_identification/enumerator_name,group_identification/survey_date,group_identification/sub_county,group_identification/ward,group_identification/household_head_sex,group_identification/landholding_acres,group_advisory/reached_advisory,group_advisory/advisory_channels,group_training/ffs_completed,group_training/practices_used,crop_sales/crop_name,crop_sales/area_planted_acres,crop_sales/quantity_harvested_kg,crop_sales/quantity_sold_kg,crop_sales/price_received_kes_per_kg,crop_sales/buyer_type,crop_sales/sold_through_group,group_resilience/coping_strategies_used,yield_kg_per_acre,crop_income_kes,price_share_pct
uuid-Baseline-0,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00001,J. Mwendwa,2026-06-05,kitui_south,mutonguni,male,1.29,yes,in_person,no,drought_tolerant_seed water_harvesting mulching staggered_planting intercropping organic_amendment,maize,1.15,334.0,153.1,79.62,market_vendor,no,borrowed_food child_labour sold_productive_asset,324.3,12001.0,61.5
uuid-Baseline-1,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00002,P. Kioko,2026-06-18,mwingi_west,kwa_vonza,male,1.92,no,,no,,cassava,0.88,225.9,120.4,94.28,market_vendor,no,sold_productive_asset child_labour,292.2,10019.0,54.6
uuid-Baseline-2,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00003,J. Mwendwa,2026-06-15,kitui_south,kyome_thaana,female,92.49,no,,no,staggered_planting,maize,0.83,200.7,103.0,75.06,local_trader,no,sold_productive_asset reduced_meals,242.8,4648.0,50.5
uuid-Baseline-3,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00004,M. Wanjiru,2026-06-11,mwingi_west,waita,male,1.83,no,,no,drought_tolerant_seed min_tillage intercropping,green_grams,1.0,392.8,225.6,154.33,producer_group,yes,sold_productive_asset,425.8,36507.0,70.0
uuid-Baseline-4,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00005,J. Mwendwa,2026-06-06,kitui_rural,mbitini,male,1.37,no,,no,drought_tolerant_seed,maize,0.7,220.0,195.8,96.31,local_trader,no,none,275.7,18127.0,59.5
uuid-Baseline-5,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00006,P. Kioko,2026-06-08,kitui_south,mutonguni,female,5.0,no,,no,intercropping drought_tolerant_seed,cassava,1.84,524.0,292.9,100.04,producer_group,yes,reduced_meals sold_productive_asset borrowed_food,327.4,28224.0,71.2
uuid-Baseline-6,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00007,M. Wanjiru,2026-06-26,kitui_south,kyome_thaana,male,0.32,no,,no,,maize,0.17,48.7,34.4,131.28,processor,no,reduced_meals child_labour,274.8,3934.0,57.2
uuid-Baseline-7,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00008,S. Kamau,2026-06-10,kitui_south,mutonguni,male,1.04,no,,no,,cassava,0.78,292.9,167.1,133.4,producer_group,yes,none,368.7,16147.0,68.9
uuid-Baseline-8,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00009,M. Wanjiru,2026-06-04,kitui_rural,mbitini,male,1.29,no,,no,mulching,cassava,0.97,286.7,167.9,66.37,processor,no,borrowed_food child_labour,308.6,8764.0,62.3
uuid-Baseline-9,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00010,A. Ndaka,2026-06-11,mwingi_west,waita,male,0.93,no,,no,,maize,0.5,179.3,85.1,155.42,processor,no,child_labour borrowed_food,330.1,12490.0,58.5
uuid-Baseline-10,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00011,J. Mwendwa,2026-06-09,kitui_rural,township,male,2.81,no,,no,water_harvesting,sorghum,1.59,622.1,309.6,101.43,local_trader,no,reduced_meals child_labour sold_productive_asset,369.5,23192.0,58.5
uuid-Baseline-11,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00012,M. Wanjiru,2026-06-18,kitui_south,mutonguni,female,1.17,no,,no,mulching staggered_planting,green_grams,0.61,149.5,122.5,124.16,market_vendor,no,sold_productive_asset borrowed_food,233.3,10842.0,59.9
uuid-Baseline-12,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00013,M. Wanjiru,2026-06-13,mwingi_west,waita,female,0.57,no,,no,staggered_planting min_tillage,cowpeas,0.44,183.1,117.4,86.83,processor,no,none,471.1,7901.0,61.4
uuid-Baseline-13,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00014,M. Wanjiru,2026-06-19,kitui_south,mutonguni,female,2.24,no,,no,drought_tolerant_seed,sorghum,1.41,337.7,141.1,80.96,market_vendor,no,none,279.2,8126.0,59.8
uuid-Baseline-14,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00015,S. Kamau,2026-06-26,mwingi_west,kwa_vonza,female,1.67,no,,no,,cassava,0.69,313.9,238.5,158.12,processor,no,none,407.1,29845.0,62.7
uuid-Baseline-15,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00016,S. Kamau,2026-06-05,kitui_rural,mbitini,male,1.22,no,,no,staggered_planting,pigeon_peas,0.29,96.1,79.2,92.75,processor,no,none,313.1,5415.0,58.4
uuid-Baseline-16,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00017,A. Ndaka,2026-06-08,mwingi_west,kwa_vonza,male,5.0,no,,no,intercropping,cassava,4.35,1380.3,964.5,135.05,market_vendor,no,borrowed_food,359.4,117456.0,55.8
uuid-Baseline-17,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00018,M. Wanjiru,2026-06-17,kitui_rural,township,female,2.87,no,,no,min_tillage,cowpeas,2.53,666.2,559.9,129.44,producer_group,yes,reduced_meals borrowed_food child_labour,234.8,60098.0,73.7
uuid-Baseline-18,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00019,P. Kioko,2026-06-15,kitui_south,mutonguni,male,2.65,no,,no,water_harvesting organic_amendment,cassava,1.05,271.9,179.5,70.7,market_vendor,no,none,248.5,8761.0,58.0
uuid-Baseline-19,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00020,J. Mwendwa,2026-06-24,mwingi_west,kwa_vonza,female,2.92,no,,no,,sorghum,2.58,972.4,614.0,126.86,local_trader,no,none,402.0,73100.0,58.1
uuid-Baseline-20,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00021 ,J. Mwendwa,2026-06-03,kitui_south,mutonguni,female,2.81,no,,no,min_tillage,cassava,1.77,572.6,456.1,115.31,market_vendor,no,none,300.2,47766.0,59.6
uuid-Baseline-21,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00022,J. Mwendwa,2026-06-10,kitui_rural,township,male,1.74,no,,no,drought_tolerant_seed,pigeon_peas,1.37,412.7,360.4,113.81,local_trader,no,borrowed_food,307.3,31056.0,60.0
uuid-Baseline-22,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00023,S. Kamau,2026-06-24,kitui_south,mutonguni,male,1.18,no,,no,,sorghum,0.66,181.0,109.6,102.15,market_vendor,no,reduced_meals child_labour,307.8,7816.0,58.6
uuid-Baseline-23,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00024,M. Wanjiru,2026-06-22,kitui_south,mutonguni,male,2.27,no,,no,organic_amendment,green_grams,1.63,570.5,423.2,89.45,market_vendor,no,reduced_meals child_labour borrowed_food,353.3,26927.0,59.7
uuid-Baseline-24,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00025,J. Mwendwa,2026-06-02,kitui_south,mutonguni,male,1.71,no,,no,mulching,cassava,1.31,435.7,363.0,99.95,local_trader,no,none,292.7,32997.0,59.7
uuid-Baseline-25,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00026,M. Wanjiru,2026-06-16,kitui_rural,township,male,0.31,no,,no,mulching,maize,0.31,117.4,61.9,62.6,local_trader,no,none,339.3,3775.0,60.3
uuid-Baseline-26,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00027,A. Ndaka,2026-06-22,mwingi_west,kwa_vonza,male,0.86,no,,no,,cowpeas,0.8,137.1,94.5,121.12,market_vendor,no,child_labour reduced_meals borrowed_food,180.8,7619.0,52.7
uuid-Baseline-27,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00028,P. Kioko,2026-06-07,kitui_rural,township,female,1.55,no,,no,,pigeon_peas,1.51,764.4,322.8,103.11,processor,no,none,514.1,35172.0,65.4
uuid-Baseline-28,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00029,S. Kamau,2026-06-27,kitui_rural,township,female,3.85,no,,no,,pigeon_peas,2.34,639.5,493.3,84.04,local_trader,no,none,272.8,39752.0,59.4
uuid-Baseline-29,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00030,S. Kamau,2026-06-03,mwingi_west,waita,female,2.28,no,,no,,cassava,0.36,160.0,94.5,76.62,market_vendor,no,none,494.9,5623.0,61.5
uuid-Baseline-30,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00031,M. Wanjiru,2026-06-26,kitui_south,kyome_thaana,male,1.01,no,,no,,cowpeas,0.77,172.8,124.9,96.19,local_trader,no,sold_productive_asset borrowed_food,222.3,10194.0,55.7
uuid-Baseline-31,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00032,S. Kamau,2026-06-08,kitui_south,kyome_thaana,male,0.79,no,,no,organic_amendment,cassava,0.51,141.9,105.9,101.04,processor,no,none,300.4,7438.0,58.4
uuid-Baseline-32,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00033,A. Ndaka,2026-06-22,kitui_rural,township,male,4.4,no,,no,min_tillage intercropping water_harvesting mulching staggered_planting drought_tolerant_seed organic_amendment,pigeon_peas,1.28,519.3,236.7,153.2,processor,no,borrowed_food,404.5,27692.0,57.8
uuid-Baseline-33,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00034,S. Kamau,2026-06-09,kitui_rural,township,male,1.8,no,,yes,drought_tolerant_seed,cassava,1.32,530.5,228.2,126.61,market_vendor,no,none,381.6,29958.0,64.2
uuid-Baseline-34,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00035,S. Kamau,2026-06-11,mwingi_west,waita,female,0.25,no,,no,water_harvesting min_tillage,green_grams,0.13,48.1,26.7,122.37,local_trader,no,none,328.9,2393.0,58.0
uuid-Baseline-35,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00036,M. Wanjiru,2026-06-14,kitui_rural,mbitini,male,1.89,no,,no,,sorghum,1.63,416.4,315.6,145.95,local_trader,no,sold_productive_asset,275.7,36077.0,62.1
uuid-Baseline-36,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00037,A. Ndaka,2026-06-06,kitui_rural,township,male,3.31,no,,no,water_harvesting,pigeon_peas,2.25,902.0,628.6,79.59,local_trader,no,reduced_meals sold_productive_asset child_labour,359.1,36528.0,57.8
uuid-Baseline-37,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00038,M. Wanjiru,2026-06-24,mwingi_west,waita,female,0.77,no,,no,mulching intercropping,cassava,0.56,201.0,92.7,103.45,local_trader,no,sold_productive_asset borrowed_food,313.9,7073.0,58.4
uuid-Baseline-38,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00039,J. Mwendwa,2026-06-18,kitui_rural,mbitini,male,2.16,no,,no,organic_amendment,pigeon_peas,0.97,129.9,79.1,101.14,local_trader,no,borrowed_food,138.9,7632.0,59.1
uuid-Baseline-39,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00040,J. Mwendwa,2026-06-01,mwingi_west,kwa_vonza,male,2.31,no,,no,mulching drought_tolerant_seed,maize,1.46,467.8,201.3,64.75,local_trader,no,sold_productive_asset borrowed_food,334.3,13399.0,63.7
uuid-Baseline-40,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00041,M. Wanjiru,2026-06-08,mwingi_west,kwa_vonza,male,0.82,no,,no,water_harvesting,cassava,0.45,138.2,58.3,136.72,local_trader,no,borrowed_food child_labour,332.6,5447.0,54.1
uuid-Baseline-41,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00042,M. Wanjiru,2026-06-20,kitui_south,kyome_thaana,female,4.67,no,,no,staggered_planting,pigeon_peas,1.79,534.8,315.7,91.94,market_vendor,no,sold_productive_asset,280.1,24710.0,55.9
uuid-Baseline-42,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00043,A. Ndaka,2026-06-21,mwingi_west,kwa_vonza,female,2.34,no,,no,min_tillage drought_tolerant_seed,cowpeas,1.85,440.1,298.3,90.92,processor,no,borrowed_food,262.3,18473.0,54.0
uuid-Baseline-43,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00044,A. Ndaka,2026-06-01,kitui_rural,township,male,1.55,no,,no,organic_amendment,green_grams,0.87,225.1,161.4,74.71,local_trader,no,child_labour,285.0,8605.0,56.5
uuid-Baseline-44,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00045,S. Kamau,2026-06-03,kitui_south,kyome_thaana,female,1.81,no,,no,staggered_planting,pigeon_peas,0.61,119.2,71.6,62.93,processor,no,borrowed_food,171.1,3939.0,57.4
uuid-Baseline-45,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00046,P. Kioko,2026-06-03,kitui_south,mutonguni,female,0.68,no,,no,min_tillage water_harvesting,pigeon_peas,0.38,130.9,79.0,67.98,processor,no,borrowed_food sold_productive_asset reduced_meals,324.1,3515.0,55.0
uuid-Baseline-46,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00047,A. Ndaka,2026-06-11,kitui_rural,township,female,0.65,no,,no,,cowpeas,0.46,134.2,77.2,79.61,processor,no,sold_productive_asset reduced_meals borrowed_food,297.4,5719.0,57.6
uuid-Baseline-47,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00048,J. Mwendwa,2026-06-12,kitui_rural,mbitini,male,143.39,no,,no,intercropping mulching,cowpeas,0.6,92.3,46.6,65.1,local_trader,no,none,177.0,2059.0,53.8
uuid-Baseline-48,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00049,J. Mwendwa,2026-06-08,mwingi_west,kwa_vonza,male,1.51,no,,no,drought_tolerant_seed,maize,1.49,534.2,413.2,114.16,processor,no,reduced_meals sold_productive_asset,373.1,33784.0,56.7
uuid-Baseline-49,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00050,S. Kamau,2026-06-02,kitui_rural,township,female,1.72,no,,no,mulching,sorghum,0.6,235.2,130.4,89.2,local_trader,no,none,348.9,9304.0,63.4
uuid-Baseline-50,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00051,P. Kioko,2026-06-25,kitui_rural,mbitini,male,4.94,no,,no,min_tillage organic_amendment staggered_planting drought_tolerant_seed water_harvesting intercropping,cassava,3.59,1442.0,1006.1,159.87,processor,no,reduced_meals child_labour borrowed_food,359.6,129667.0,61.0
uuid-Baseline-51,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00052,J. Mwendwa,2026-06-01,kitui_rural,mbitini,male,3.19,no,,no,mulching,cowpeas,0.72,273.2,186.8,97.06,processor,no,borrowed_food child_labour reduced_meals,368.7,13810.0,60.4
uuid-Baseline-52,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00053,S. Kamau,2026-06-20,kitui_south,mutonguni,female,0.37,no,,no,mulching organic_amendment,maize,0.19,49.2,22.8,81.47,local_trader,no,none,298.5,1256.0,56.8
